# SB02 changed file before/after SHA-256 hashes

| File | Before SHA-256 | After SHA-256 |
| --- | --- | --- |
| repo://CanDoItAll.Economy/src/CanDoItAll.Economy.Components/Components/SimulationSandbox/EconomySimulationSandboxPage.razor | 6b016ec5984aa5654ee0ca1aa01a5bdfcccbcef521f20a970ffc330ef379b334 | 3acc1537f50496d6836568d03a94a69916598f52ee9e864ae5d976aa27f70d97 |
| repo://CanDoItAll.Economy/src/CanDoItAll.Economy.Node/CanDoItAll.Economy.Node.csproj | 656bfa45dd8db88ddfac88a5a3efe1237fbcd8b4acc7bee240ce7dc48fa1884f | da2d67dd82e74eb593937f5a0f4a1e3b69ae0f62f93eaabbbfa38f711cf56420 |
| repo://CanDoItAll.Economy/src/CanDoItAll.Economy.Node/EconomyNodeServiceRegistration.cs | 922758daaebda9ff1799a20d401012317530546d46a81c73cf149fce6e4fee40 | 679d325e0e229d34086175012273745fc1b0432a662fb23c12ac25ff09b09b4e |
| repo://CanDoItAll.Economy/src/CanDoItAll.Economy.SimulationSandbox/EconomySimulationSandboxContracts.cs | c7732dad3798eb61fa57eed53a1f270d6ed3d84ff930a45ebeb4a50ce865cadb | 08e81079e16053a0d99b6a8a1cba222bb3e8bb22e5528c319706812ff1757ddb |
| repo://CanDoItAll.Economy/src/CanDoItAll.Economy.SimulationSandbox/FileSystemEconomySimulationScenarioCatalog.cs | absent | 744693dbf519ff8d13dd3fc50e506fb9e96fbc7d224c980af3e2acad28650232 |
| repo://CanDoItAll.Economy/tests/CanDoItAll.Economy.Tests/SimulationSandboxScenarioCatalogTests.cs | absent | 7c7fc0b7126b8aa08ba6e6b0813c985e42a0a2dfe550d193b9e4c3fe0df7e6f2 |
| repo://CanDoItAll.Economy/tests/CanDoItAll.Economy.Tests/EconomySimulationSandboxComponentTests.cs | 242b51871770cdd7c0f6657a2279e6e4c78692bffd12e785ffcdabf0586115ba | 93aa8dc5824d8f300258fdd43f3d581649afbe01c283cae35aa8fe5fcbc574b5 |
| repo://CanDoItAll.Economy/src/CanDoItAll.Economy.Node/SimulationScenarios/EconomySimulationSandbox/farmer-land/expected.invariants.json | absent | b4833b3b12350aa0c95e0aa42ec3cb5004f6e09b1e4a57d2480f7d1553acb446 |
| repo://CanDoItAll.Economy/src/CanDoItAll.Economy.Node/SimulationScenarios/EconomySimulationSandbox/farmer-land/experiment.json | absent | 52a347d53961c80a82f0c24de9ee0d33f85ee2ddeb2b6ce9ed23d719e8bcb723 |
